Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
ASUS Zenbook 14 Um3406ka Pp113ws,Asus,AMD,RYZEN AI 7,350,2.0,16.0,LPDDR5X,,512,14.0,2880 x 1800,120,AMD,1.2,"75 WHrs, 4-cell",28990000,https://www.anphatpc.com.vn/laptop-asus-zenbook-14-um3406ka-pp113ws.html,data/anphat/raw_htmls\asus_22.html,data/anphat/detail_htmls\asus_22_specs.html
ASUS Zenbook 14 Ux3405ca Pz188ws,Asus,Intel,Core Ultra 7,255,5.1,32.0,LPDDR5X,,1024,14.0,2880 x 1800,120,Intel,1.28,"75WHrs, 2S2P, 4-cell Li-ion",35990000,https://www.anphatpc.com.vn/laptop-asus-zenbook-14-ux3405ca-pz188ws.html,data/anphat/raw_htmls\asus_23.html,data/anphat/detail_htmls\asus_23_specs.html
ASUS Vivobook S 16 S5606ca Ri171ws,Asus,Intel,Core Ultra 7,255,5.1,16.0,LPDDR5X,,512,16.0,2880 x 1800,120,Intel,1.5,4-cell 75WHrs,30999000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s-16-s5606ca-ri171ws.html,data/anphat/raw_htmls\asus_25.html,data/anphat/detail_htmls\asus_25_specs.html
ASUS Vivobook S14 M3407ka Sf032ws,Asus,AMD,Ryzen  AI 7,350,,16.0,DDR5,,512,14.0,1920 x 1200,60,AMD,1.4,"70WHrs, 4S1P, 4-cell Li-ion",25999000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s14-m3407ka-sf032ws.html,data/anphat/raw_htmls\asus_27.html,data/anphat/detail_htmls\asus_27_specs.html
ASUS Zenbook 14 Ux3405ca Pz187ws,Asus,Intel,Core Ultra 5,225,4.9,16.0,LPDDR5X,,512,14.0,2880 x 1800,120,Intel,1.28,4-cell 75WHrs,31990000,https://www.anphatpc.com.vn/laptop-asus-zenbook-14-ux3405ca-pz187ws.html,data/anphat/raw_htmls\asus_24.html,data/anphat/detail_htmls\asus_24_specs.html
ASUS Vivobook S14 M3407ka Sf034ws,Asus,AMD,Ryzen AI 5,330,,16.0,DDR5,,512,14.0,1920 x 1200,60,AMD,1.4,"70WHrs, 4S1P, 4-cell Li-ion",22999000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s14-m3407ka-sf034ws.html,data/anphat/raw_htmls\asus_26.html,data/anphat/detail_htmls\asus_26_specs.html
ASUS Vivobook S 14 S3407ca Ly096ws,Asus,Intel,Core Ultra 7,255,5.1,16.0,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"70WHrs, 4S1P, 4-cell Li-ion",25990000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s-14-s3407ca-ly096ws.html,data/anphat/raw_htmls\asus_28.html,data/anphat/detail_htmls\asus_28_specs.html
ASUS Vivobook S16 S3607ca Sh083ws,Asus,Intel,Core Ultra 7,255,5.1,16.0,DDR5,,512,16.0,1920 x 1200,60,Intel,1.7,"70WHrs, 4S1P, 4-cell Li-ion",26990000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s16-s3607ca-sh083ws.html,data/anphat/raw_htmls\asus_29.html,data/anphat/detail_htmls\asus_29_specs.html
ASUS Vivobook S16 S3607ca Sh082ws,Asus,Intel,Core Ultra 5,225,1.7,16.0,DDR5,,512,16.0,1920 x 1200,60,Intel,1.7,"70WHrs, 4S1P, 4-cell Li-ion",24990000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s16-s3607ca-sh082ws.html,data/anphat/raw_htmls\asus_31.html,data/anphat/detail_htmls\asus_31_specs.html
ASUS Vivobook S 14 S3407ca Ly095ws,Asus,Intel,Core Ultra 5,225,4.9,16.0,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"70WHrs, 4S1P, 4-cell Li-ion",22990000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s-14-s3407ca-ly095ws.html,data/anphat/raw_htmls\asus_30.html,data/anphat/detail_htmls\asus_30_specs.html
ASUS Vivobook 14 X1405va Ly623w,Asus,Intel,Core i5,13420,4.6,16.0,DDR4,3200,512,14.0,1920 x 1200,60,Intel,1.6,"42WHrs, 3S1P, 3-cell Li-ion",16190000,https://www.anphatpc.com.vn/laptop-asus-vivobook-14-x1405va-ly623w.html,data/anphat/raw_htmls\asus_35.html,data/anphat/detail_htmls\asus_35_specs.html
ASUS Vivobook S14 S3407qa Sf043ws,Asus,Qualcomm,Snapdragon X  X1,100,2.97,80.0,LPDDR5X,,512,14.0,1920 x 1200,60,Qualcomm,1.35,"70WHrs, 3S1P, 3-cell Li-ion",24990000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s14-s3407qa-sf043ws.html,data/anphat/raw_htmls\asus_33.html,data/anphat/detail_htmls\asus_33_specs.html
ASUS Vivobook S 14 Flip Tp3402va Lz632w,Asus,Intel,Core i5,13420,4.6,16.0,DDR4,,512,14.0,1920 x 1200,60,Intel,1.5,"3 cell, 50WHrs",20999000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz632w.html,data/anphat/raw_htmls\asus_34.html,data/anphat/detail_htmls\asus_34_specs.html
ASUS Vivobook S16 S3607qa Sh040ws,Asus,Qualcomm,Snapdragon X  X1,100,2.97,80.0,LPDDR5X,,512,16.0,1920 x 1200,60,Qualcomm,1.74,"70WHrs, 3S1P, 3-cell Li-ion",22999000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s16-s3607qa-sh040ws.html,data/anphat/raw_htmls\asus_32.html,data/anphat/detail_htmls\asus_32_specs.html
ASUS Expertbook P3405cva Nz0077w,Asus,Intel,Core i7,13620,4.9,16.0,DDR5,,512,14.0,2560 x 1600,,Intel,1.36,"63 WHrs, 3-cell",24999000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p3405cva-nz0077w.html,data/anphat/raw_htmls\asus_36.html,data/anphat/detail_htmls\asus_36_specs.html
ASUS Rog Strix G18 G815lr S9211w,Asus,Intel,Ultra 9,275,5.4,32.0,DDR5,5600,1024,18.0,2560 x 1600,240,NVIDIA,3.2,"90WHrs, 4S1P, 4-cell Li-ion",63990000,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g18-g815lr-s9211w.html,data/anphat/raw_htmls\asus_38.html,data/anphat/detail_htmls\asus_38_specs.html
ASUS Rog Strix G18 G815lp S9102w,Asus,Intel,Ultra 9,275,5.4,32.0,DDR5,5600,1024,18.0,2560 x 1600,240,NVIDIA,3.2,"90WHrs, 4S1P, 4-cell Li-ion",56990000,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g18-g815lp-s9102w.html,data/anphat/raw_htmls\asus_39.html,data/anphat/detail_htmls\asus_39_specs.html
ASUS Rog Strix G18 G815lm S9088w,Asus,Intel,Ultra 9,275,5.4,32.0,DDR5,5600,1024,18.0,2560 x 1600,240,NVIDIA,3.2,"90WHrs, 4S1P, 4-cell Li-ion",52990000,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g18-g815lm-s9088w.html,data/anphat/raw_htmls\asus_41.html,data/anphat/detail_htmls\asus_41_specs.html
ASUS Expertbook P3405cva Nz0027w,Asus,Intel,Core i5,13420,4.6,16.0,DDR5,,512,14.0,2560 x 1600,,Intel,1.36,"63 WHrs, 3-cell",19990000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p3405cva-nz0027w.html,data/anphat/raw_htmls\asus_37.html,data/anphat/detail_htmls\asus_37_specs.html
ASUS Expertbook P3605cva Pl0042w,Asus,Intel,Core i5,13420,4.6,16.0,DDR5,,512,16.0,2560 x 1600,,Intel,1.75,"63 WHrs, 3-cell",19990000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p3605cva-pl0042w.html,data/anphat/raw_htmls\asus_40.html,data/anphat/detail_htmls\asus_40_specs.html
ASUS Expertbook B3 B3405cca Ly0080w,Asus,Intel,Core Ultra 7,255,2.0,16.0,DDR5,,512,14.0,1920 x 1200,60,Intel,1.4,"3 cell 63 Wh , Pin liền",26990000,https://www.anphatpc.com.vn/laptop-asus-expertbook-b3-b3405cca-ly0080w.html,data/anphat/raw_htmls\asus_42.html,data/anphat/detail_htmls\asus_42_specs.html
ASUS Expertbook P3605cva Pl0047w,Asus,Intel,Core i7,13620,4.9,16.0,DDR5,,512,16.0,2560 x 1600,,Intel,1.75,"63 WHrs, 3-cell",25999000,https://www.anphatpc.com.vn/laptop-asus-expertbook-p3605cva-pl0047w.html,data/anphat/raw_htmls\asus_43.html,data/anphat/detail_htmls\asus_43_specs.html
ASUS Rog Zephyrus G16 Gu605cx Qr147w,Asus,Intel,Core Ultra 9,285,5.4,64.0,LPDDR5X,7467,2048,16.0,2560 x 1600,240,NVIDIA,1.95,"4-cell, 90WHrs",124990000,https://www.anphatpc.com.vn/laptop-asus-rog-zephyrus-g16-gu605cx-qr147w.html,data/anphat/raw_htmls\asus_46.html,data/anphat/detail_htmls\asus_46_specs.html
ASUS Gaming Rog Zephyrus G14 Ga403wm Qs051ws,Asus,AMD,Ryzen AI 9,370,5.1,32.0,LPDDR5X,8000,1024,14.0,2880 x 1800,,NVIDIA,1.5,"73WHrs, 4S1P, 4-cell Li-ion",56940000,https://www.anphatpc.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga403wm-qs051ws.html,data/anphat/raw_htmls\asus_47.html,data/anphat/detail_htmls\asus_47_specs.html
ASUS Rog Zephyrus G14 Ga403ww Qs136ws,Asus,AMD,Ryzen AI 9,370,5.1,64.0,LPDDR5X,8000,2048,14.0,2880 x 1800,,NVIDIA,1.57,"73WHrs, 4S1P, 4-cell Li-ion",89490000,https://www.anphatpc.com.vn/laptop-asus-rog-zephyrus-g14-ga403ww-qs136ws.html,data/anphat/raw_htmls\asus_48.html,data/anphat/detail_htmls\asus_48_specs.html
ASUS Rog Strix G16 G615lw S5219w,Asus,Intel,Core Ultra 9,275,5.4,16.0,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.65,"4-cell, 90WHrs",73690000,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g16-g615lw-s5219w.html,data/anphat/raw_htmls\asus_50.html,data/anphat/detail_htmls\asus_50_specs.html
ASUS Rog Strix G16 G615lr S5289w,Asus,Intel,Core Ultra 7,255,5.2,16.0,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.65,"4-cell, 90WHrs",57920000,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g16-g615lr-s5289w.html,data/anphat/raw_htmls\asus_49.html,data/anphat/detail_htmls\asus_49_specs.html
ASUS Tuf Gaming A14 Fa401km Rg010ws 90nr0kg1 M000t0,Asus,AMD,Ryzen AI 7,350,5.0,16.0,LPDDR5X,7500,1024,14.0,2560 x 1600,165,NVIDIA,1.46,"73WHrs, 4S1P, 4-cell Li-ion",45150000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-a14-fa401km-rg010ws-90nr0kg1-m000t0.html,data/anphat/raw_htmls\asus_51.html,data/anphat/detail_htmls\asus_51_specs.html
ASUS Tuf Gaming F16 Fx607vu Rl045w,Asus,Intel,Core 5,210,4.8,16.0,DDR5,5600,512,16.0,1920 x 1200,144,NVIDIA,2.2,"56WHrs, 4S1P, 4-cell Li-ion",28490000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx607vu-rl045w.html,data/anphat/raw_htmls\asus_53.html,data/anphat/detail_htmls\asus_53_specs.html
ASUS Tuf Gaming F16 Fx608jh Rv039w,Asus,Intel,Core i5,13450,4.6,16.0,DDR5,5600,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",33390000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jh-rv039w.html,data/anphat/raw_htmls\asus_52.html,data/anphat/detail_htmls\asus_52_specs.html
ASUS Tuf Gaming F16 Fx608jhr Rv037w,Asus,Intel,Core i7,14650,5.2,16.0,DDR5,5600,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",38290000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jhr-rv037w.html,data/anphat/raw_htmls\asus_54.html,data/anphat/detail_htmls\asus_54_specs.html
ASUS Tuf Gaming F16 Fx608jpr Rv044w,Asus,Intel,Core i7,14650,5.2,16.0,DDR5,5600,1024,16.0,1920 x 1200,165,NVIDIA,2.2,"90WHrs, 4S1P, 4-cell Li-ion",45990000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx608jpr-rv044w.html,data/anphat/raw_htmls\asus_56.html,data/anphat/detail_htmls\asus_56_specs.html
