Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class
MSI Cyborg 15 A13uc 2082vn,msi,Intel,Core I7,13620.0,,16.0,DDR5,5600.0,4096.0,15.6,1920 x 1080,144.0,NVIDIA,1.98,3 Cells 53.5 Whrs,20990000.0,data/cellphones/detail_htmls\msi_11_specs.html,RTX 3050,DISCRETE_GAMING
MSI Modern 14 F13mg 466vn,msi,Intel,Core I5,1334.0,1.3,24.0,DDR4,3200.0,512.0,14.0,1920 x 1080,60.0,Intel,1.5,"3-cell, 46.8 Wh",15990000.0,data/cellphones/detail_htmls\msi_10_specs.html,INTEL_IRIS_XE,INTEGRATED
MSI Gaming Thin 15 B13ve 2824vn,msi,Intel,Core I5,13420.0,,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,1.86,"3-cell, 52.4WHr",22990000.0,data/cellphones/detail_htmls\msi_13_specs.html,RTX 4050,DISCRETE_GAMING
MSI Katana 15 B13udxk 2411vn,msi,Intel,Core I7,13620.0,4.9,16.0,DDR5,5200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.304,3 Cell Int (53.5Wh),24490000.0,data/cellphones/detail_htmls\msi_14_specs.html,RTX 3050,DISCRETE_GAMING
MSI Katana 15 B13udxk 2269vn 16gb,msi,Intel,Core I7,13620.0,2.4,16.0,DDR5,5200.0,1024.0,15.6,1920 x 1080,144.0,NVIDIA,2.25,3-Cell,24990000.0,data/cellphones/detail_htmls\msi_17_specs.html,RTX 3050,DISCRETE_GAMING
MSI Cyborg 15 B2rwekg 402vn,msi,Intel,Core 5,210.0,4.8,16.0,DDR5,5200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.207,4 Cell Int (55.2Wh),27690000.0,data/cellphones/detail_htmls\msi_16_specs.html,RTX 5050,DISCRETE_GAMING
MSI Katana 15 B13udxk 2213vn,msi,Intel,Core I5,13500.0,3.5,16.0,DDR5,5200.0,1024.0,15.6,1920 x 1080,144.0,NVIDIA,2.25,"3 cell, 53.5Whr",23490000.0,data/cellphones/detail_htmls\msi_18_specs.html,RTX 3050,DISCRETE_GAMING
MSI Katana 15 Hx B14wek 027vn,msi,Intel,Core I7,14650.0,2.2,32.0,DDR5,5600.0,512.0,15.6,2560 x 1440,165.0,NVIDIA,2.4,"4 cell 75 Wh , Pin liền",37690000.0,data/cellphones/detail_htmls\msi_15_specs.html,INTEL_UHD,INTEGRATED
MSI Gaming Thin 15 B13uc 1411vn 24gb,msi,Intel,Core I7,13620.0,,24.0,DDR4,3200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,1.86,"3-cell, 52.4WHr",20990000.0,data/cellphones/detail_htmls\msi_19_specs.html,RTX 3050,DISCRETE_GAMING
MSI Cyborg 14 A13udx 099vn,msi,Intel,Core I7,13620.0,4.9,16.0,DDR5,5200.0,512.0,14.0,1920 x 1200,144.0,NVIDIA,1.6,"3 cell, 53.5Whr",25390000.0,data/cellphones/detail_htmls\msi_20_specs.html,RTX 3050,DISCRETE_GAMING
