Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class,is_contact_price,norm_ram,norm_storage,norm_cpu,norm_weight,norm_screen,norm_price,price_million,base_performance_score,base_portability_score,has_price,ready_for_budget_filter,ready_for_performance_advice,is_light,is_heavy,is_small_screen,is_large_screen,Battery (Wh),norm_battery,gpu_score,battery_score,battery_available,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook
ASUS Tuf Gaming Fa607nug Rl129w R7 7445hs,asus,AMD,Ryzen 7,7445.0,4.7,16.0,DDR5,5600.0,512.0,16.0,1920x1200,144.0,AMD,2.2,4 Cell 240 W,28990000.0,data/fpt/detail_htmls\asus_23_specs.html,RTX 4050,DISCRETE_GAMING,False,0.8,0.8,0.5714285714285714,0.1761637239165329,0.8487158908507223,0.1597222222222222,28.99,0.686,0.176,True,True,True,False,False,False,True,,,1.0,,0,0.8915,0.8758,0.4712,0.2856139646869984,0.5092627929373997,True,True,False,False
ASUS Vivobook 15 X1504va Bq165w Core 5 120u,asus,Intel,Core 5,120.0,5.0,16.0,DDR4,3200.0,512.0,15.6,1920x1080,60.0,Intel,1.7,42 WHrs 45 W,18990000.0,data/fpt/detail_htmls\asus_22_specs.html,INTEL_UHD,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.442215088282504,0.5842696629213483,0.0902777777777777,18.99,0.807,0.442,True,True,True,False,False,False,True,42.0,0.11864406779661017,0.45,0.11864406779661017,1,0.59175,0.6096,0.5300255401901469,0.3030574762316335,0.5815729883318929,False,True,False,False
HP 14 Ep1179tu Core 5 120u C89zspa,hp,Intel,Core 5,120.0,5.0,16.0,DDR4,,512.0,14.0,1920x1080,,Intel,1.398,3 Cell 45 W,18690000.0,data/fpt/detail_htmls\hp_2_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.8081861958266453,0.2114767255216693,0.0881944444444444,18.69,0.807,0.808,True,True,True,True,False,True,False,,,0.45,,0,0.59175,0.6096,0.7460151685393258,0.6963884430176566,0.7574345144462279,False,True,True,False
HP Probook 445 G10 R5 7530u B73tsat,hp,AMD,Ryzen 5,7530.0,4.5,16.0,DDR4,3200.0,512.0,14.0,1920x1080,60.0,AMD,1.38,3 Cell 65 W,18590000.0,data/fpt/detail_htmls\hp_4_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.3029695024077046,0.8358747993579454,0.2114767255216693,0.0875,18.59,0.551,0.836,True,True,True,True,False,True,False,,,0.5,,0,0.55775,0.5603,0.6405061797752809,0.7088483146067417,0.6228474438202247,False,False,True,False
HP 15 Fd0305tu I3 1315u A2nl6pa,hp,Intel,Core I3,1315.0,4.5,8.0,DDR4,3200.0,256.0,15.6,1920x1080,60.0,Intel,1.59,3 Cell 45 W,12290000.0,data/fpt/detail_htmls\hp_1_specs.html,INTEL_UHD,INTEGRATED,False,0.6,0.6,0.3029695024077046,0.6211878009630818,0.5842696629213483,0.04375,12.29,0.451,0.621,True,True,True,True,False,False,True,,,0.45,,0,0.47275,0.4728,0.5209275280898876,0.5384028892455859,0.4999479654895666,False,False,False,False
HP 250 G10 I5 1334u B3wa8at,hp,Intel,Core 5,1334.0,4.6,16.0,DDR4,,512.0,15.6,1920x1080,,Intel,1.624,3 Cell 45 W,18390000.0,data/fpt/detail_htmls\hp_3_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.4534510433386838,0.5714285714285714,0.5842696629213483,0.0861111111111111,18.39,0.627,0.571,True,True,True,False,False,False,True,,,0.45,,0,0.5467500000000001,0.5556,0.582711797752809,0.5160112359550563,0.5848725561797753,False,False,False,False
HP 14 Em0086au R5 7520u,hp,AMD,Ryzen 5,7520.0,4.3,16.0,LPDDR5,5500.0,512.0,14.0,1920x1080,60.0,AMD,1.4,3 Cell 45 W,14890000.0,data/fpt/detail_htmls\hp_0_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.2146869983948635,0.7885232744783306,0.2114767255216693,0.0618055555555555,14.89,0.507,0.789,True,True,True,True,False,True,False,,,0.5,,0,0.54675,0.5471,0.6041331460674156,0.687540128410915,0.5868179414125201,False,False,True,False
HP 14 Ep0112tu I5 1335u,hp,Intel,Core I5,1335.0,3.4,16.0,DDR4,,512.0,14.0,1920x1080,,Intel,1.4,3 Cell 45 W,19190000.0,data/fpt/detail_htmls\hp_5_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.1565008025682183,0.7885232744783306,0.2114767255216693,0.0916666666666666,19.19,0.478,0.789,True,True,True,True,False,True,False,,,0.55,,0,0.5695,0.5659000000000001,0.5910831460674156,0.687540128410915,0.57079544141252,False,False,False,False
HP Gaming Victus 15 Fa2732tx I5 13420h B85lppa,hp,Intel,Core I5,13420.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920x1080,144.0,NVIDIA,2.262,70.07 Wh 120 W,26090000.0,data/fpt/detail_htmls\hp_6_specs.html,RTX 4050,DISCRETE_GAMING,False,0.8,0.8,0.4534510433386838,0.1388443017656501,0.5842696629213483,0.1395833333333333,26.09,0.627,0.139,True,True,True,False,False,False,True,70.07,0.7176628010704728,1.0,0.7176628010704728,1,0.87675,0.8581,0.3971074330164217,0.2613681241511297,0.4504219696876157,True,True,False,False
HP 14 Ep0220tu I3 1315u B73vwpa,hp,Intel,Core I3,1315.0,4.5,8.0,DDR4,3200.0,512.0,14.0,1920x1080,60.0,Intel,1.38,3 Cell 45 W,13190000.0,data/fpt/detail_htmls\hp_7_specs.html,INTEL_UHD,INTEGRATED,False,0.6,0.8,0.3029695024077046,0.8358747993579454,0.2114767255216693,0.05,13.19,0.491,0.836,True,True,True,True,False,True,False,,,0.45,,0,0.48275,0.4848,0.6135061797752809,0.7088483146067417,0.5896974438202247,False,False,True,False
