Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class,is_contact_price,norm_ram,norm_storage,norm_cpu,norm_weight,norm_screen,norm_price,price_million,base_performance_score,base_portability_score,has_price,ready_for_budget_filter,ready_for_performance_advice,is_light,is_heavy,is_small_screen,is_large_screen,Battery (Wh),norm_battery,gpu_score,battery_score,battery_available,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook,cpu_gen
HP 15 Fd0083tu 8d736pa,hp,Intel,Core I7,1355.0,0.0,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",22490000.0,data/cellphones/detail_htmls\hp_24_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.0016051364365971,0.622792937399679,0.5842696629213483,0.1145833333333333,22.49,0.401,0.623,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.55025,0.5428000000000001,0.41002431667151124,0.3836972692634271,0.4016003963548655,False,False,False,False,13.0
HP Pavilion 15 Eg3093tu 8c5l4pa,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.69,"3-cell Li-ion, 41 Wh",21290000.0,data/cellphones/detail_htmls\hp_23_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.0220706260032102,0.4735152487961477,0.5842696629213483,0.10625,21.29,0.411,0.474,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.5527500000000001,0.5458000000000001,0.3622771256602752,0.316522309391838,0.37017916842549137,False,False,False,False,13.0
HP 240 G9 Ag2j7at,hp,Intel,Core I5,1235.0,4.4,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.42,3 Cell Int (41.04Wh),19790000.0,data/cellphones/detail_htmls\hp_21_specs.html,INTEL_UHD,INTEGRATED,False,0.8,0.8,0.2451845906902086,0.7620385232744783,0.2114767255216693,0.0958333333333333,19.79,0.523,0.762,True,True,True,True,False,True,False,41.04,0.09232827832292596,0.45,0.09232827832292596,1,0.52075,0.5244,0.5205291388106527,0.5329368877822054,0.5238754900212348,False,False,False,False,12.0
HP 15 Fd1063tu 9z2y1pa,hp,Intel,Core Ultra 5,125.0,5.0,16.0,DDR5,5600.0,512.0,15.6,1920 x 1080,,Intel,1.65,"3-cell, 41 Wh Li-ion polymer Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",20990000.0,data/cellphones/detail_htmls\hp_20_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.543338683788122,0.5842696629213483,0.1041666666666666,20.99,0.807,0.543,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.59175,0.6096,0.5649153279074663,0.3479428551382264,0.6062504685860052,False,True,False,False,1.0
HP Pavilion 15 Eg3111tu 8u6l8pa,hp,Intel,Core I5,1335.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.6,"3-cell, 41 Wh Li-ion",21290000.0,data/cellphones/detail_htmls\hp_22_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.4534510433386838,0.6087479935794542,0.5842696629213483,0.10625,21.29,0.627,0.609,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.60675,0.6106,0.5068085863344325,0.37737704454432597,0.5229892727593598,True,True,False,False,13.0
HP Gaming Omen 16 Am0129tx Bx9d1pa,hp,Intel,Core Ultra 7,255.0,5.1,32.0,DDR5,5600.0,512.0,16.0,1920 x 1200,165.0,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",48890000.0,data/cellphones/detail_htmls\hp_26_specs.html,RTX 5070,DISCRETE_GAMING,False,1.0,0.8,0.8743980738362761,0.069422150882825,0.8487158908507223,0.2979166666666666,48.89,0.897,0.069,True,True,True,False,True,False,True,83.0,0.8983050847457628,0.45,0.8983050847457628,1,0.64425,0.6666000000000001,0.6076087697581414,0.37590356938814373,0.6625546602687924,True,True,True,False,2.0
HP Gaming Omen 16 Am0176tx Bx9d3pa,hp,Intel,Core Ultra 7,255.0,5.1,16.0,DDR5,5600.0,512.0,16.0,1920 x 1200,165.0,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",43890000.0,data/cellphones/detail_htmls\hp_25_specs.html,RTX 5060,DISCRETE_GAMING,False,0.8,0.8,0.8743980738362761,0.069422150882825,0.8487158908507223,0.2631944444444444,43.89,0.837,0.069,True,True,True,False,True,False,True,83.0,0.8983050847457628,0.45,0.8983050847457628,1,0.5992500000000001,0.6186,0.5806087697581414,0.37590356938814373,0.6294046602687924,False,True,False,False,2.0
HP Victus 16 R0376tx Ay8z2pa,hp,Intel,Core I7,13700.0,5.0,16.0,DDR5,4800.0,512.0,16.1,1920 x 1080,165.0,NVIDIA,2.31,"4-cell, 70 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 200 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",32690000.0,data/cellphones/detail_htmls\hp_27_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.8138041733547352,0.1123595505617978,0.9743178170144462,0.1854166666666666,32.69,0.807,0.112,True,True,True,False,True,False,True,70.0,0.6882247992863515,0.9,0.6882247992863515,1,0.86175,0.8571000000000001,0.5401208025538996,0.2965769141001428,0.5848197439692834,True,True,False,False,13.0
HP Victus 16 R0374tx Ay8y7pa,hp,Intel,Core I5,13500.0,4.7,16.0,DDR5,4800.0,512.0,16.1,1920 x 1080,165.0,NVIDIA,2.334,4 Cell Int (70.07Wh),30990000.0,data/cellphones/detail_htmls\hp_29_specs.html,RTX 4050,DISCRETE_GAMING,False,0.8,0.8,0.5714285714285714,0.108346709470305,0.9743178170144462,0.1736111111111111,30.99,0.686,0.108,True,True,True,False,True,False,True,70.07,0.7176628010704728,1.0,0.7176628010704728,1,0.8915,0.8758,0.49015390852870133,0.30507443623341346,0.5216841460845983,True,True,False,False,13.0
HP Pavilion X360 14 Ek2017tu 9z2v5pa,hp,Intel,Core 5,120.0,5.0,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,,1.4,3 Cell Int (43.3Wh),24990000.0,data/cellphones/detail_htmls\hp_28_specs.html,INTEL_GRAPHICS,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.7885232744783306,0.2114767255216693,0.1319444444444444,24.99,0.807,0.789,True,True,True,True,False,True,False,43.3,0.1471900089206066,0.45,0.1471900089206066,1,0.59175,0.6096,0.668571147851537,0.5640566315331272,0.6961183428398172,False,True,True,False,1.0
