Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
hp,Intel,i3-1315u,13.0,,,,,512.0,14.0,,,Intel,,,10890000.0
hp,AMD,Ryzen 7 7445,7.0,,16.0,,,16.0,15.6,,,NVIDIA,,,23990000.0
hp,Intel,i5-13420h,13.0,,16.0,,,512.0,15.6,,,Intel,,,19990000.0
hp,Intel,Core Ultra 5,,,16.0,,,512.0,16.0,,,Intel,,,22190000.0
hp,Intel,Core Ultra 7,,,16.0,,,512.0,15.6,1920x1080,,Intel,,,20690000.0
hp,Intel,Core Ultra 7,,,16.0,,,512.0,14.0,,,Intel,,,27990000.0
hp,,,,,16.0,,,512.0,15.6,,144.0,Intel,,,21990000.0
hp,Intel,Core Ultra 5,,,,,,,16.0,,,Intel,,,22890000.0
hp,Intel,i7-1355u,13.0,,16.0,,,16.0,15.6,,,Intel,,,18290000.0
hp,,,,,16.0,,,512.0,16.0,,,Intel,,,22990000.0
hp,Intel,Core Ultra 7,,,,,,,15.6,,,Intel,,,19790000.0
hp,,,,,16.0,,,512.0,16.0,,,AMD,,,24990000.0
hp,Intel,i5-1334u,13.0,,,,,,15.6,,,Intel,,,15490000.0
hp,,,,,,,,,14.0,,,AMD,,,17790000.0
hp,Intel,Core Ultra 5,,,16.0,,,512.0,14.0,,,Intel,,,23790000.0
hp,,,,,16.0,,,512.0,13.3,,,Intel,1.07,,24990000.0
hp,Intel,Core Ultra 7,,,,,,16.0,15.6,1920x1080,,Intel,,,20290000.0
hp,,,,,32.0,,,32.0,13.3,,,Intel,,,28990000.0
