Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
Colorful Rimbook L1 I3 1220p Ca30016512c G E1ac,colorful,Intel,Core I3,1220,4.4,16,DDR4,,512,15.6,1920x1080,60,Intel,1.78,3 Cell 50 W,11290000,https://www.fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i3-1220p-ca30016512c-g-e1ac,data/fpt/raw_htmls\colorful_0.html,data/fpt/detail_htmls\colorful_0_specs.html
GIGABYTE Gaming G6x 9mg I7 13650hx 9rc6l9kghsiix1vn000,gigabyte,Intel,Core I7,13650,4.9,16,DDR5,4800,512,16.0,1920x1200,165,Intel,2.527,73 Wh 180 W,31210000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g6x-9mg-i7-13650hx-9rc6l9kghsiix1vn000,data/fpt/raw_htmls\gigabyte_0.html,data/fpt/detail_htmls\gigabyte_0_specs.html
GIGABYTE Gaming A16 Cwhi3vn864sh I7 13620h,gigabyte,Intel,Core I7,13620,4.9,32,DDR5,5200,1024,16.0,1920x1200,165,Intel,2.24,4 Cell 150 W,42590000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a16-cwhi3vn864sh-i7-13620h,data/fpt/raw_htmls\gigabyte_3.html,data/fpt/detail_htmls\gigabyte_3_specs.html
GIGABYTE Gaming G6x 9mg I7 13650hx 9rc6l9mghsiix1vn000,gigabyte,Intel,Core I7,13650,4.9,16,DDR5,4800,512,16.0,1920x1200,165,Intel,2.531,73 Wh 180 W,29790000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g6x-9mg-i7-13650hx-9rc6l9mghsiix1vn000,data/fpt/raw_htmls\gigabyte_1.html,data/fpt/detail_htmls\gigabyte_1_specs.html
GIGABYTE Gaming G6x 9mg I7 13650hx 9rc6l9mghsjix1vn000,gigabyte,Intel,Core I7,13650,4.9,16,DDR5,4800,512,16.0,1920x1200,165,Intel,2.535,73 Wh 180 W,30720000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g6x-9mg-i7-13650hx-9rc6l9mghsjix1vn000,data/fpt/raw_htmls\gigabyte_2.html,data/fpt/detail_htmls\gigabyte_2_specs.html
GIGABYTE Gaming G6x 9kg I7 13650hx 9rc6l9kghsjix1vn000,gigabyte,Intel,Core I7,13650,4.9,16,DDR5,4800,1024,16.0,1920x1200,165,Intel,2.533,73 Wh 180 W,32190000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g6x-9kg-i7-13650hx-9rc6l9kghsjix1vn000,data/fpt/raw_htmls\gigabyte_4.html,data/fpt/detail_htmls\gigabyte_4_specs.html
GIGABYTE Gaming A16 Cmhh2vn893sh I5 13420h,gigabyte,Intel,Core I5,13420,4.6,16,DDR5,5200,512,16.0,1920x1200,165,NVIDIA,2.2,76 Wh 150 W,24490000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a16-cmhh2vn893sh-i5-13420h,data/fpt/raw_htmls\gigabyte_7.html,data/fpt/detail_htmls\gigabyte_7_specs.html
GIGABYTE Gaming A16 Cmhi2vn893sh I7 13620h,gigabyte,Intel,Core I7,13620,4.9,16,DDR5,5200,512,16.0,1920x1200,165,NVIDIA,2.2,76 Wh 150 W,26790000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a16-cmhi2vn893sh-i7-13620h,data/fpt/raw_htmls\gigabyte_5.html,data/fpt/detail_htmls\gigabyte_5_specs.html
GIGABYTE Gaming A16 Cvhi3vnc93sh I7 13620h,gigabyte,Intel,Core I7,13620,4.9,16,DDR5,5200,512,16.0,2560x1600,165,Intel,2.27,4 Cell 150 W,35590000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a16-cvhi3vnc93sh-i7-13620h,data/fpt/raw_htmls\gigabyte_6.html,data/fpt/detail_htmls\gigabyte_6_specs.html
GIGABYTE Gaming A16 Cmhi2vn894sh I7 13620h,gigabyte,Intel,Core I7,13620,4.9,16,DDR5,5200,1024,16.0,1920x1200,165,Intel,2.23,4 Cell 150 W,27780000,https://www.fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a16-cmhi2vn894sh-i7-13620h,data/fpt/raw_htmls\gigabyte_8.html,data/fpt/detail_htmls\gigabyte_8_specs.html
