Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
acer,Apple,,,,,,,16.0,15.6,,,Intel,,,29190000.0
laptop,Apple,,,,,,,1000.0,,,,NVIDIA,,,
msi,Apple,,,,,,,512.0,,,,NVIDIA,,,
msi,Apple,,,,,,,,,,,Intel,,,
msi,Apple,,,,,,,16.0,15.6,,,Intel,,,18790000.0
msi,Apple,,,,,,,,,,,Intel,,,18990000.0
msi,Apple,,,,,,,,,,,Intel,,,28490000.0
msi,Intel,i5-1334u,13.0,,,,,16.0,14.0,,,Intel,,,13490000.0
laptop,Apple,,,,,,,,,,,Intel,,,12490000.0
msi,Apple,,,,,,,,,,,Intel,,,23190000.0
msi,Apple,,,,,,,,,,,Intel,,,19490000.0
msi,Apple,,,,,,,,,,,Intel,,,20990000.0
msi,Apple,,,,,,,,,,,Intel,,,19990000.0
msi,Apple,,,,,,,16.0,15.6,,,Intel,,,22490000.0
msi,Apple,,,,,,,16.0,15.6,,,Intel,,,20790000.0
msi,Apple,,,,,,,,,,,Intel,,,19590000.0
msi,Apple,,,,,,,,,,,Intel,,,18290000.0
msi,Apple,,,,,,,,,,,Intel,,,25490000.0
msi,Apple,,,,,,,,,,,Intel,,,16490000.0
msi,Intel,i5-1334u,13.0,,,,,16.0,15.6,,,Intel,,,13490000.0
msi,Apple,,,,,,,16.0,,,,Intel,,,34990000.0
msi,Apple,,,,,,,16.0,,,,Intel,,,45990000.0
laptop,Apple,,,,,,,16.0,,,,Intel,,,17690000.0
msi,Apple,,,,,,,,,,,Intel,,,29990000.0
msi,Apple,,,,,,,,,,,Intel,,,12490000.0
msi,Apple,,,,,,,,,,,Intel,,,42490000.0
msi,Apple,,,,,,,,,,,Intel,,,37490000.0
msi,Apple,,,,,,,16.0,15.6,,,Intel,,,37490000.0
msi,Apple,,,,,,,,,,,Intel,,,33990000.0
msi,Apple,,,,,,,,,,,Intel,,,48990000.0
msi,Apple,,,,,,,,,,,Intel,,,20290000.0
lg,Intel,i5-1334u,13.0,,,,,16.0,15.6,,,Intel,,,13990000.0
